Rank,Company_Name,Recruit_Title,Work_Field,Academic_Level,Position,Due_date
1,㈜카스,2021년 7월 수시채용,소프트웨어·하드웨어 웹프로그래머 응용프로그래머 웹기획·PM 외,초대졸↑,정규직,~07/26(월)
2,㈜케이티,2021년 KT 신입 / 경력 채용,웹프로그래머 응용프로그래머 시스템프로그래머 DBA·데이터베이스 외,대졸↑,정규직,~08/31(화)
3,와디즈㈜,와디즈 대규모 인재 영입,응용프로그래머 시스템프로그래머 DBA·데이터베이스 네트워크·서버·보안 외,학력무관,정규직,~07/31(토)
4,깨끗한나라㈜,2021년 깨끗한나라㈜ 수시채용,컨텐츠·사이트운영 경리·회계·결산 재무·세무·IR 구매·자재 외,대졸↑,정규직,~07/22(목)
5,기아㈜,각 부문별 신입/경력 채용,웹프로그래머 응용프로그래머 HTML·퍼블리싱·UI개발 빅데이터·AI(인공지능) 외,학력무관,정규직,상시채용
6,㈜메쉬코리아,2021년 부문별 경력/신입 채용,웹프로그래머 응용프로그래머 시스템프로그래머 DBA·데이터베이스 외,학력무관,정규직,~08/01(일)
7,㈜케이씨씨,2021년 경력/신입 수시채용,웹디자인 기획·전략·경영 경리·회계·결산 재무·세무·IR 외,학력무관,"정규직, 계약직",내일마감
8,엔아이티서비스㈜,엔아이티서비스 하반기 채용,응용프로그래머 네트워크·서버·보안 웹프로그래머 시스템프로그래머 외,학력무관,정규직,~07/23(금)
9,㈜신세계아이앤씨,"하반기 경력사원(시스템개발/운영, SAP, AI, Cloud, 기획, 경영지원) 채용",웹프로그래머 응용프로그래머 시스템프로그래머 DBA·데이터베이스 외,학력무관,정규직,~07/27(화)
10,SK D&D㈜,2021년 하반기 각 부문별 전환형 인턴 및 경력직 공채,응용프로그래머 ERP·시스템분석·설계 시스템프로그래머 빅데이터·AI(인공지능) 외,대졸↑,"정규직, 인턴",~10/07(목)
11,㈜한국생활건강,2021년 하반기 각 부문 신입/경력사원 모집,응용프로그래머 DBA·데이터베이스 웹디자인 ERP·시스템분석·설계 외,고졸↑,정규직,채용 시 마감
12,㈜우아한형제들,각 부문별 경력/신입 인재영입,응용프로그래머 빅데이터·AI(인공지능) 웹프로그래머 시스템프로그래머 외,학력무관,"정규직, 계약직",~10/15(금)
13,유안타증권㈜,2021년 유안타증권 채용,웹프로그래머 응용프로그래머 DBA·데이터베이스 웹마케팅 외,학력무관,계약직,~07/28(수)
14,에스케이임업㈜,SK임업 신입/경력직 모집,웹마케팅 웹디자인 기획·전략·경영 인사·노무·교육 외,초대졸↑,"정규직, 계약직",~07/23(금)
15,㈜세아네트웍스,각 부문 신입 및 경력 채용,웹기획·PM ERP·시스템분석·설계 DBA·데이터베이스 빅데이터·AI(인공지능) 외,대졸↑,"정규직, 인턴",~07/25(일)
16,니덱모빌리티코리아㈜,니덱모빌리티코리아주식회사 신입/경력 채용,소프트웨어·하드웨어 시스템프로그래머 응용프로그래머 경리·회계·결산 외,초대졸↑,정규직,~07/25(일)
17,하나금융티아이,2021년 하나금융TI 신입사원 채용,응용프로그래머 시스템프로그래머 네트워크·서버·보안 ERP·시스템분석·설계 외,대졸↑,정규직,~08/08(일)
18,㈜두산 디지털이노베이션BU,채용연계형 인턴 모집,ERP·시스템분석·설계 소프트웨어·하드웨어 시스템프로그래머 네트워크·서버·보안 외,학력무관,인턴,~07/25(일)
19,디만트코리아㈜,2021년 하반기 각 부문별 인재 모집,컨텐츠·사이트운영 동영상제작·편집 사무·총무·법무 인사·노무·교육 외,대졸↑,"정규직, 계약직",~07/30(금)
20,㈜케이씨텍,(주)케이씨텍 각 분야 신입/경력 채용,웹프로그래머 응용프로그래머 시스템프로그래머 빅데이터·AI(인공지능) 외,초대졸↑,정규직,~07/25(일)
21,㈜탑코,2021 탑툰 하반기 각 부문 채용,웹프로그래머 DBA·데이터베이스 웹기획·PM HTML·퍼블리싱·UI개발 외,학력무관,"정규직, 계약직",~07/31(토)
22,㈜대학내일,2021 통합 대학내일 상시채용,빅데이터·AI(인공지능) 기획·전략·경영 마케팅·광고·분석 홍보·PR 외,학력무관,정규직,상시채용
23,㈜이루다,2021년 하반기 각 부문별 인재 모집,시스템프로그래머 응용프로그래머 소프트웨어·하드웨어 사무·총무·법무 외,학력무관,정규직,~07/30(금)
24,㈜에듀윌,에듀윌 부문별(출판/콘텐츠마케팅/경영지원 등) 인재 모집,웹프로그래머 응용프로그래머 웹기획·PM 웹마케팅 외,학력무관,"정규직, 계약직 외",~07/31(토)
25,오스템임플란트㈜,"연구지원 및 영업/마케팅, 경영지원 등 부문 채용",웹디자인 ERP·시스템분석·설계 재무·세무·IR 마케팅·광고·분석 외,대졸↑,"정규직, 계약직",~07/25(일)
26,우아한청년들,부문별 경력/신입 인재영입,웹기획·PM 웹마케팅 웹디자인 기획·전략·경영 외,학력무관,"정규직, 계약직",채용 시 마감
27,도미노피자(청오디피케이),도미노피자 각부문(자회사/관계사포함) 공개채용,웹프로그래머 응용프로그래머 DBA·데이터베이스 웹기획·PM 외,학력무관,"정규직, 계약직 외",~07/26(월)
28,㈜영원아웃도어,2021년 3Q 각 부분 신입/경력 채용,컨텐츠·사이트운영 웹기획·PM 웹마케팅 재무·세무·IR 외,학력무관,정규직,채용 시 마감
29,인천글로벌캠퍼스운영 재단법인,2021년도 직원 채용공고,응용프로그래머 네트워크·서버·보안 사무·총무·법무 사무보조·문서작성 외,학력무관,정규직,~07/29(목)
30,농림수산식품교육문화정보원,2021년 제3차 직원 채용,DBA·데이터베이스 ERP·시스템분석·설계 기획·전략·경영 사무·총무·법무 외,학력무관,"정규직, 계약직 외",~07/20(화)
31,나이스평가정보㈜,[NICE평가정보] 2021년 하반기 수시채용,빅데이터·AI(인공지능) HTML·퍼블리싱·UI개발 웹마케팅 웹프로그래머 외,대졸↑,"정규직, 인턴",~07/25(일)
32,인텔리안테크놀로지스,2021년 하반기 각 부문 신입/경력 채용,웹프로그래머 응용프로그래머 시스템프로그래머 네트워크·서버·보안 외,대졸↑,정규직,~07/25(일)
33,제이스퓨처,C# SW 개발 경력 모집,웹프로그래머 응용프로그래머 웹기획·PM HTML·퍼블리싱·UI개발 외,대졸↑,정규직,상시채용
34,용마로지스㈜,2021년 부문별 정규직 채용,응용프로그래머 시스템프로그래머 네트워크·서버·보안 ERP·시스템분석·설계 외,초대졸↑,정규직,~07/26(월)
35,KT커머스㈜,2021년 경력사원 채용[물류기획 및 운영/IT개발(웹퍼블리셔)],HTML·퍼블리싱·UI개발 웹프로그래머 구매·자재 배송·택배·운송 외,학력무관,정규직,~07/28(수)
