Company_name,Salary,Review_rating,Location,Company _classification,Annual_sales,No_of_emp
㈜카스,"2,852",2.3,"서울, 경기, 대전 외",그 외 기타 기계 및 장비 도매업,1180억6900만,350명
㈜케이티,"4,018",3.2,"서울, 경기, 인천 외",무선 및 위성 통신업,17조 8천억원,"22,349명"
와디즈㈜,"2,839",3.1,경기,경영 컨설팅업,11억 9천만원,37명
깨끗한나라㈜,"3,588",2.1,"서울, 충북",기타 종이 및 판지 제조업,"3,480만원",574명
기아㈜,"4,835",4,"서울, 경기, 인천 외",자동차,"54조 1,698억원","35,665명"
㈜메쉬코리아,"2,964",3,"서울, 경기, 대전 외",쇼핑몰·오픈마켓·소셜커머스,"1,614억 7천",282명
㈜케이씨씨,"4,007",2.6,"서울, 경기, 광주 외",일반용 도료 및 관련제품 제조업,2조 718억원,"3,528명"
엔아이티서비스㈜,"2,928",3.1,"서울, 경기, 부산 외",시스템 소프트웨어 개발 및 공급업,151억 2천만원,200명
㈜신세계아이앤씨,"3,861",2.8,"서울, 경기",컴퓨터시스템 통합 자문 및 구축 서비스업,3041억,974명
SK D&D㈜,NULL,NULL,경기,산업건설 시공 토목 조경,2313억,100명
㈜한국생활건강,"2,602",1.8,"서울, 경기",쇼핑몰·오픈마켓·소셜커머스,450억,150명
㈜우아한형제들,"3,096",3.6,서울,모바일·APP,"5,611억 3천","1,050명"
유안타증권㈜,"3,653",3.2,"서울, 충북, 대구 외",증권 중개업,1조 515억천,"1,717명"
에스케이임업㈜,"3,750",2.9,"서울, 충남, 전국",조경 건설업,530억 1천만원,93명
㈜세아네트웍스,"3,229",2.5,"서울, 전북, 경남",네트워크·통신서비스,253억 3천만원,38명
니덱모빌리티코리아㈜,"3,518",2.2,"서울, 경기",자동차·조선·철강·항공,1600억원,430명
하나금융티아이,"3,822",3.1,인천,솔루션·SI·CRM·ERP,2044억,"1,014명"
㈜두산 디지털이노베이션BU,NULL,NULL,"서울, 경기, 인천",솔루션·SI·CRM·ERP,NULL,600명
디만트코리아㈜,"2,490",1.5,서울,제약·보건·바이오,191억 4천만원,100명
㈜케이씨텍,"3,391",3,경기,반도체 제조용 기계 제조업,"3,198억 9천만원",656명
㈜탑코,"2,672",2.2,서울,솔루션·SI·CRM·ERP,588억,201명
㈜대학내일,"3,299",3.8,서울,광고·홍보·전시,417억 8527만,290명
㈜이루다,"2,441",2.8,"서울, 경기",호텔업,"8억 7,281만원",18명
㈜에듀윌,"2,445",4.4,서울,교육업,1200억,750명
오스템임플란트㈜,"3,044",2.6,"서울, 경기, 인천 외",치과산업,5650억 4260만,1885명
우아한청년들,"3,096.10",3.6,"서울, 경기, 인천",음식료·외식·프랜차이즈,2877억 5천만원,NULL
도미노피자(청오디피케이),"2,850",3,"서울, 경기, 충남",기타 식사용 가공처리 조리식품 제조업,"2,328억 3천만원",429명
㈜영원아웃도어,"3,282",2.5,"서울, 경기","근무복, 작업복 및 유사의복 제조업","4,326억 6천만원",223명
인천글로벌캠퍼스운영 재단법인,NULL,NULL,"서울, 경기, 인천",비주거용 건물 임대업,21억 4천만원,29명
농림수산식품교육문화정보원,"2,979",2.4,세종,공공기관,1318억 4883만원,170명
나이스평가정보㈜,"3,402",3.4,"서울, 전국",데이터베이스 및 온라인정보 제공업,"3,819억 1백만원",699명
인텔리안테크놀로지스,"3,171",2.7,"서울, 경기, 부산",전기·전자·제어,1098억,310명
제이스퓨처,"5,000",4.7,서울,응용 소프트웨어 개발 및 공급업,75억 8천만원,15명
용마로지스㈜,"3,447",2.4,경기,일반 화물자동차 운송업,"2,759억 1천만원",562명
KT커머스㈜,"2,876",2.7,서울,전자상거래 소매업,"4,173억 4천만원",113명
인하공업전문대학,"2,805",3.7,"서울, 경기, 인천",학교(초·중·고·대학·특수),NULL,412명
㈜골든하인드,"3,331",3.2,서울,상품 종합 도매업,119억6천만,52명
오스템임플란트㈜,"3,044.10",2.6,서울,치과산업,5650억 4260만,1885명
㈜코코엔터테인먼트코리아,NULL,1,서울,일반 영화 및 비디오물 제작업,10억,390명
㈜ 앤하우스,"2,856",3.6,서울,음식료·외식·프랜차이즈,350억,90명
롯데렌탈㈜,"3,540",3.1,"서울, 경기, 인천 외",기타 운송장비 임대업,2조 759억원,"1,111명"
㈜싸이버로지텍,"4,085",3.2,"서울, 부산",솔루션·SI·CRM·ERP,949억,304명
㈜밀리의서재,"3,860",3.1,서울,시스템 소프트웨어 개발 및 공급업,192억 2천만원,78명
롯데칠성음료㈜,"3,471",2.7,"서울, 경기, 인천 외",기타 비알코올 음료 제조업,"2조 1,619억원","5,703명"
㈜더블유비스킨,"2,460",1,서울,화장품 및 화장용품 도매업,NULL,50
TikTok,"3,420",3.3,서울,포털·컨텐츠·커뮤니티,NULL,250명
에스엔시스㈜,"3,220",2.3,"경기, 부산, 경남",배전반 및 전기 자동제어반 제조업,"1,398억 1천만원",141명
㈜제이티넷,"2,645",2.6,서울,네트워크·통신서비스,503억,70명
태광식품,NULL,2.5,"서울, 경기",곡물 제분업,214억 3천만원,260명
㈜에이스토리,NULL,3.2,서울,방송·케이블·프로덕션,464억,32명
한국벤처경영원(유),"2,535",2,서울,컨설팅·연구·조사,3억,20명
경인여자대학교,"2,220",3,"서울, 경기, 인천",학교(초·중·고·대학·특수),NULL,187명
하나저축은행,"3,541",2.3,"서울, 인천",상호저축은행 및 기타 저축기관,959억 1천만원,154명
㈜엔씨소프트,"3,464",3.6,경기,게임·애니메이션,1조 7011억,"3,755명"
㈜노벨피아,NULL,0,서울,기타 게임 소프트웨어 개발 및 공급업,NULL,35명
㈜아이캠퍼,"3,218",2.4,"서울, 경기",생활용품·소비재·기타,250억,105명
㈜이엔에스코리아,"2,368",2.2,"서울, 경기",생활화학·화장품,230억,150명
㈜컴투스,"2,991",3.1,서울,게임·애니메이션,5079억,"1,020명"
㈜제이슨컴퍼니,NULL,1,"서울, 경기",광고 홍보 전시,NULL,27명
대우산업개발㈜,"4,050",2.8,"서울, 경기, 인천 외",건물 건설업,"4,014억 8천만원",449명
㈜넥스트씨앤씨,"2,420",2.1,"서울, 경기",커피 및 차류 도매업,68억 3천만원,80명
동양건설산업,"3,742",2.7,서울,종합건설업,NULL,317명
아름다운가게,"2,420.10",3.3,"서울, 경기, 대전 외",재생용 재료 수집 및 판매업,333억 5천만원,411명
㈜서흥,"3,373",2.7,"서울, 충북",완제 의약품 제조업,"3,862억 2천만원",864명
㈜컴퓨존,"2,978",2.5,서울,쇼핑몰·오픈마켓·소셜커머스,1000억,500명
㈜지엔엠라이프,"2,953",3.6,"서울, 경기, 인천",건강식품업,725억원,63명
㈜샤바스,"2,540",2.7,"서울, 경기, 인천",생활용품·소비재·기타,NULL,85명
㈜파멕스,"2,941",2,"서울, 경기, 충남 외",그 외 기타 특수목적용 기계 제조업,212억 6천만원,108명
㈜블랙홀릭,"3,640",2.7,서울,쇼핑몰·오픈마켓·소셜커머스,NULL,40명
㈜해커스어학원,"2,714",2.5,서울,교육업,1500억원,921명
㈜넷케이티아이,"2,796",3.3,"경기, 대전, 대구 외",통신.방송장비 및 부품 도매업,"1,029억 4천만원",205명
㈜디알텍,"3,144",2.8,경기,제약·보건·바이오,432억원,200명
㈜인라이플,"2,810",2.7,"서울, 경기, 인천",광고업,713억원,300명
㈜에이치제이에프,"2,872",2.1,"서울, 인천, 충북",식품가공,"1,176억",250명
대구텍,"3,731",4,"경기, 대구",금속가공,NULL,1250명
가비아씨엔에스,"3,206",3.5,경기,솔루션·SI·CRM·ERP,110억,120명
㈜이덕아이앤씨,"2,968",1.6,"서울, 경기, 인천 외",섬유·의류·패션,1124억 1000만,280명
㈜틸론,"2,436",2.2,"서울, 제주",솔루션·SI·CRM·ERP,130억,70명
㈜카카오,"4,481",3.8,"경기, 제주",포털 및 기타 인터넷 정보매개 서비스업,"1조 7,791억원","2,848명"
㈜올가홀푸드,"2,493",1.9,서울,백화점·유통·도소매,986억 5천만,260명
㈜케이제이씨디스플레이코퍼레이션,"2,621",2.3,서울,무역·상사,281억원,83명
에이치에스애드,"3,785",3.4,서울,광고 대행업,"2,206억 3천만원",568명
㈜아이디그룹,"2,340",3.5,서울,광고 대행업,10억,10명
㈜평화이즈,"2,959",2.9,서울,솔루션·SI·CRM·ERP,330억,170명
㈜브이에스컴퍼니,NULL,4.5,"서울, 경기",생활용품·소비재·기타,36억,10명
(주)헤어플러스,"2,588",2.8,서울,쇼핑몰·오픈마켓·소셜커머스,100억,25명
KCC정보통신,"2,809",2.7,서울,컴퓨터시스템 통합 자문 및 구축 서비스업,"1,111억 8백만원",346명
㈜더캐리,"2,678",1.9,"서울, 경기",섬유·의류·패션,293억 3000만원,120명
한국전자금융㈜,"2,639",2.6,"서울, 경기, 인천 외",그 외 기타 분류 안된 사업지원 서비스업,"2,217억 1백만원",473명
SK텔레콤,"4,205",4,"서울, 경기, 대전 외",무선 및 위성 통신업,11조 7천억원,"5,266명"
한국원자력연구원,"4,095",4.1,대전,공공기관,"4,950억 4천만원","1,450명"
㈜바이와이제이,"2,336",2,"서울, 경기",섬유·의류·패션,NULL,102명
주식회사 위펀,NULL,NULL,"서울, 경기",포털 및 기타 인터넷 정보매개 서비스업,NULL,42명
㈜골든하인드,"3,331.10",3.2,서울,상품 종합 도매업,119억6천만,52명
주식회사 씨티티디,NULL,NULL,서울,웹에이전시,142억 3천만원,100명
한국뷰로베리타스㈜씨피에스시험소,NULL,NULL,"서울, 경기, 인천",컨설팅·연구·조사,NULL,176명
㈜메이블,"2,664",3.2,"서울, 경기",섬유·의류·패션,NULL,80명
KANTAR KOREA,"3,007",3.2,서울,시장조사 및 여론조사업,709억 1천만원,342명
㈜자라다교육,"2,064",2.5,"서울, 경기, 인천 외",교육업,15억 700만,28명
더이앤엠㈜,"2,933",2.4,서울,방송·케이블·프로덕션,342억 5천만원,93명
